Form,Scale,Raw,TScore,Percentile,CI90,CI95,descrange
Self,INC,12,"NA","NA","NA","NA",Random response style
Self,INC,13,"NA","NA","NA","NA",Random response style
Self,INC,14,"NA","NA","NA","NA",Random response style
Self,INC,15,"NA","NA","NA","NA",Random response style
Self,INC,16,"NA","NA","NA","NA",Random response style
Self,INC,17,"NA","NA","NA","NA",Random response style
Self,INC,18,"NA","NA","NA","NA",Random response style
Self,INC,19,"NA","NA","NA","NA",Random response style
Self,INC,20,"NA","NA","NA","NA",Random response style
Self,INC,21,"NA","NA","NA","NA",Random response style
Self,INC,22,"NA","NA","NA","NA",Random response style
Self,INC,23,"NA","NA","NA","NA",Random response style
Self,INC,24,"NA","NA","NA","NA",Random response style
Self,INC,25,"NA","NA","NA","NA",Random response style
Self,INC,26,"NA","NA","NA","NA",Random response style
Self,INC,27,"NA","NA","NA","NA",Random response style
Self,INC,28,"NA","NA","NA","NA",Random response style
Self,INC,29,"NA","NA","NA","NA",Random response style
Self,INC,30,"NA","NA","NA","NA",Random response style
Self,IMP,0,"NA","NA","NA","NA",Negative impression response style
Self,IMP,1,"NA","NA","NA","NA",Negative impression response style
Self,IMP,2,"NA","NA","NA","NA",Negative impression response style
Self,IMP,3,"NA","NA","NA","NA",Negative impression response style
Self,IMP,4,"NA","NA","NA","NA",Negative impression response style
Self,IMP,5,"NA","NA","NA","NA",Negative impression response style
Self,IMP,6,"NA","NA","NA","NA",Negative impression response style
Self,IMP,7,"NA","NA","NA","NA",Negative impression response style
Self,IMP,8,"NA","NA","NA","NA",Negative impression response style
Self,IMP,9,"NA","NA","NA","NA",Negative impression response style
Self,IMP,10,"NA","NA","NA","NA",Negative impression response style
Self,IMP,11,"NA","NA","NA","NA",Negative impression response style
Self,IMP,12,"NA","NA","NA","NA",Negative impression response style
Self,IMP,13,"NA","NA","NA","NA",Negative impression response style
Self,IMP,14,"NA","NA","NA","NA",Negative impression response style
Self,IMP,15,"NA","NA","NA","NA",Valid response style
Self,IMP,16,"NA","NA","NA","NA",Valid response style
Self,IMP,17,"NA","NA","NA","NA",Valid response style
Self,IMP,18,"NA","NA","NA","NA",Valid response style
Self,IMP,19,"NA","NA","NA","NA",Valid response style
Self,IMP,20,"NA","NA","NA","NA",Valid response style
Self,IMP,21,"NA","NA","NA","NA",Valid response style
Self,IMP,22,"NA","NA","NA","NA",Valid response style
Self,IMP,23,"NA","NA","NA","NA",Valid response style
Self,IMP,24,"NA","NA","NA","NA",Valid response style
Self,IMP,25,"NA","NA","NA","NA",Valid response style
Self,IMP,26,"NA","NA","NA","NA",Valid response style
Self,IMP,27,"NA","NA","NA","NA",Valid response style
Self,IMP,28,"NA","NA","NA","NA",Positive impression response style
Self,IMP,29,"NA","NA","NA","NA",Positive impression response style
Self,IMP,30,"NA","NA","NA","NA",Positive impression response style
