rawscore,mo_36,a0300,calc_1,mo_39,a0330,calc_2,mo_42,a0360,calc_3,mo_45,a0390,calc_4,mo_48,a0400,calc_5,mo_51,a0430,calc_6,mo_54,a0460,calc_7,mo_57,a0490,calc_8,mo_60,a0500,calc_9,mo_63,a0530,calc_10,mo_66,a0560,calc_11,mo_69,a0590,calc_12,mo_72,a0600,calc_13,mo_75,a0630,calc_14,mo_78,a0660,calc_15,mo_81,a0690,calc_16,mo_84,a0700,calc_17,mo_87,a0730,calc_18,mo_90,a0760,calc_19,mo_93,a0790,calc_20,mo_96,a0800,calc_21,mo_102,a0860,calc_22,mo_108,a0900,calc_23,mo_114,a0960,calc_24,mo_120,a1000,calc_25,mo_126,a1060,calc_26,mo_132,a1100,calc_27,mo_138,a1160,calc_28,mo_144,a1200,calc_29,mo_150,a1260,calc_30,mo_156,a1300,calc_31,mo_168,a1400,calc_32,mo_180,a1500,calc_33,mo_192,a1618,calc_34,mo_228,a1921,calc_35
61,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,156,156,0,153,153,0,150,149,1,146,146,0,142,142,0,139,138,1,135,135,0,131,131,0,127,127,0,123,123,0,119,119,0,115,115,0,110,110,0,106,106,0,102,102,0
62,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,159,159,0,155,155,0,152,152,0,148,148,0,145,144,1,141,141,0,137,137,0,133,133,0,129,129,0,125,125,0,121,121,0,117,117,0,113,113,0,108,108,0,104,104,0
63,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,157,0,154,154,0,150,150,0,147,147,0,143,143,0,139,139,0,135,135,0,132,131,1,128,127,1,123,123,0,119,119,0,115,115,0,111,111,0,106,106,0
64,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,159,1,156,156,0,153,152,1,149,149,0,145,145,0,142,141,1,138,138,0,134,134,0,130,130,0,126,126,0,121,121,0,117,117,0,113,113,0,108,109,1
65,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,158,158,0,155,155,0,151,151,0,148,147,1,144,144,0,140,140,0,136,136,0,132,132,0,128,128,0,124,124,0,119,119,0,115,115,0,111,111,0
66,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,157,0,153,153,0,150,150,0,146,146,0,142,142,0,138,138,0,134,134,0,130,130,0,126,126,0,122,122,0,117,117,0,113,113,0
67,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,159,159,0,156,156,0,152,152,0,148,148,0,144,144,0,140,140,0,136,136,0,132,132,0,128,128,0,124,124,0,120,120,0,115,115,0
68,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,158,158,0,154,154,0,150,150,0,147,146,1,143,143,0,139,139,0,135,135,0,130,130,0,126,126,0,122,122,0,117,118,1
69,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,156,156,0,153,153,0,149,149,0,145,145,0,141,141,0,137,137,0,133,133,0,128,128,0,124,124,0,120,120,0
70,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,159,158,1,155,155,0,151,151,0,147,147,0,143,143,0,139,139,0,135,135,0,131,131,0,126,126,0,122,122,0
71,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,157,0,153,153,0,149,149,0,145,145,0,141,141,0,137,137,0,133,133,0,129,129,0,124,124,0
